starting,Executing hook on transaction ,checking permissions,Opening tables,init,System lock,optimizing,statistics,preparing,Creating tmp table,executing,end,query end,waiting for handler commit,removing tmp table,closing tables,freeing items,cleaning up,total,rowScan,rowOut,Timestamp
4.3e-05,5e-06,6e-06,1.9e-05,6e-06,8e-06,6e-06,1e-05,9e-06,2.5e-05,0.008817,1.2e-05,6e-06,1.7e-05,1e-05,9e-06,3.3e-05,1.1e-05,0.009052,5920,5920.0,1606371719.4479506
4.9e-05,6e-06,7.000000000000003e-06,2.1e-05,8e-06,9e-06,7.000000000000003e-06,1.1e-05,1.1e-05,2.9e-05,0.012874000000000002,1.2e-05,7.000000000000003e-06,1.6e-05,1e-05,1e-05,3.6e-05,1.2e-05,0.013135,6545,6545.0,1606371779.538839
5e-05,7.000000000000003e-06,8e-06,2.3e-05,8e-06,1e-05,8e-06,1.3000000000000001e-05,1.2e-05,3.1e-05,0.014966,1.2e-05,7.000000000000003e-06,1.8e-05,1.1e-05,9e-06,3.8e-05,1.3000000000000001e-05,0.015244,7094,7094.0,1606371839.6272132
5.3e-05,7.000000000000003e-06,8e-06,2.4e-05,9e-06,1e-05,8e-06,1.2e-05,1.3e-05,3.2e-05,0.015977,1.2e-05,8e-06,1.7e-05,1.1e-05,9e-06,3.8e-05,2.8000000000000013e-05,0.016276,7563,7563.0,1606371899.7139564
5.2000000000000004e-05,8e-06,8e-06,2.3e-05,9e-06,1e-05,8e-06,1.3000000000000001e-05,1.3000000000000001e-05,3.1e-05,0.020299,1.3000000000000001e-05,7.000000000000003e-06,1.7e-05,1.2e-05,1e-05,4e-05,1.4999999999999999e-05,0.020588,8087,8087.0,1606371959.8100686
5e-05,1.3e-05,7.000000000000003e-06,2.3e-05,9e-06,1e-05,7.000000000000003e-06,1.3e-05,1.3e-05,3.1e-05,0.017407,1.5e-05,6e-06,1.7e-05,1e-05,9e-06,4e-05,1.9e-05,0.017699,8632,8632.0,1606372019.906134
5.1e-05,7.000000000000003e-06,8e-06,2.2e-05,8e-06,1e-05,8e-06,1.3000000000000001e-05,1.2e-05,3.1e-05,0.019082,1.2e-05,7.000000000000003e-06,1.8e-05,1.2e-05,9e-06,4e-05,1.4000000000000001e-05,0.019364,9190,9190.0,1606372080.0039015
5.5e-05,7.000000000000003e-06,8e-06,2.3e-05,9e-06,1e-05,8e-06,1.3e-05,1.3e-05,3.2e-05,0.019805,1.1e-05,7.000000000000003e-06,1.8e-05,1e-05,9e-06,3.7e-05,3e-05,0.020105,9721,9721.0,1606372140.1007838
5e-05,6e-06,7.000000000000003e-06,2.1e-05,8e-06,1e-05,8e-06,1.2e-05,1.2e-05,2.9999999999999997e-05,0.01376,1e-05,5e-06,1.3000000000000001e-05,9e-06,7.000000000000003e-06,2.7000000000000002e-05,1.1e-05,0.014006000000000001,10507,10507.0,1606372200.1612868
3.9e-05,6e-06,6e-06,1.7e-05,6e-06,8e-06,6e-06,9e-06,2.1e-05,2.5e-05,0.01148,1.1e-05,6e-06,1.3e-05,9e-06,7.000000000000003e-06,2.9e-05,1e-05,0.011708,11019,11019.0,1606372260.2495794
