starting,Executing hook on transaction ,checking permissions,Opening tables,init,System lock,optimizing,statistics,preparing,executing,end,query end,waiting for handler commit,closing tables,freeing items,cleaning up,total,rowScan,rowOut,Timestamp
5.9999999999999995e-05,6e-06,1.1e-05,5.3e-05,7.000000000000003e-06,8e-06,1.4000000000000001e-05,1.7e-05,6.2e-05,0.075392,1.8e-05,7.000000000000003e-06,0.000359,1.3000000000000001e-05,4.7e-05,1.7e-05,0.07609099999999999,24900,4564.17,1606372445.5494106
8.3e-05,8e-06,1.5e-05,8.3e-05,1.1e-05,1.1e-05,1.7e-05,2.5e-05,8.3e-05,0.09403,1.8e-05,8e-06,0.000352,1.3e-05,4.9e-05,1.8e-05,0.094824,25962,4758.8346,1606372506.672058
7.099999999999999e-05,7.000000000000003e-06,1.4999999999999999e-05,5.7999999999999994e-05,8e-06,9e-06,1.4000000000000001e-05,1.9e-05,6.8e-05,0.078226,2e-05,7.000000000000003e-06,0.000357,1.3000000000000001e-05,3.6e-05,1.7e-05,0.078945,26924,4935.169199999998,1606372567.5312192
7.8e-05,7.000000000000003e-06,1.3e-05,7.5e-05,9e-06,1e-05,1.6e-05,2.2e-05,8.7e-05,0.061245000000000015,1.5e-05,6e-06,0.000264,9e-06,0.160683,3.6e-05,0.222575,27860,5106.7379999999985,1606372628.895743
8.3e-05,7.000000000000003e-06,1.4000000000000001e-05,8.2e-05,1.1e-05,1.1e-05,1.7e-05,2.5e-05,9.8e-05,0.101229,1.7e-05,7.000000000000003e-06,0.00042699999999999997,1.2e-05,0.159422,3.8e-05,0.2615,27990,5130.566999999999,1606372690.012898
7.6e-05,7.000000000000003e-06,1.4e-05,7.7e-05,9e-06,1e-05,1.6e-05,2.2e-05,7.6e-05,0.274749,1.9e-05,8e-06,0.000469,1.4e-05,6.1e-05,1.9e-05,0.275646,28896,5296.6368,1606372750.9616468
6.1e-05,5e-06,1.2e-05,5.2000000000000004e-05,8e-06,8e-06,1.3000000000000001e-05,1.8e-05,6.1e-05,0.312236,1.6e-05,7.000000000000003e-06,0.00031299999999999996,1e-05,3.5e-05,1.4999999999999999e-05,0.31287,29790,5460.507,1606372812.334435
9.5e-05,8e-06,1.4e-05,7.6e-05,1e-05,1.1e-05,1.8e-05,2.6e-05,8.7e-05,0.43983,1.8e-05,8e-06,0.000475,1.3e-05,5.2e-05,1.8e-05,0.440759,30750,5636.475,1606372873.8196664
5.600000000000001e-05,5e-06,1.1e-05,5e-05,7.000000000000003e-06,8e-06,1.3000000000000001e-05,1.7e-05,6.2e-05,0.45084799999999997,1.8e-05,8e-06,0.0004860000000000001,1.3000000000000001e-05,2e-05,1.7e-05,0.451639,31640,5799.611999999999,1606372935.2755013
8.6e-05,9e-06,1.7e-05,0.000103,1.2e-05,1.1e-05,1.7e-05,2.4e-05,9.4e-05,0.475506,1.9e-05,7.000000000000003e-06,0.000509,1.3e-05,2.1e-05,1.7e-05,0.476465,32518,5960.5494,1606372996.6131465
7.8e-05,7.000000000000003e-06,1.3000000000000001e-05,7.6e-05,1e-05,1e-05,1.6e-05,2.2e-05,7.8e-05,0.57444,1.9e-05,8e-06,0.000549,1.4999999999999999e-05,2.4e-05,1.8e-05,0.575383,33380,6118.553999999999,1606373058.3438835
8e-05,8e-06,1.4e-05,8.1e-05,1e-05,1e-05,1.7e-05,2.4e-05,8.2e-05,0.794892,2e-05,8e-06,0.000567,1.5e-05,2.2e-05,1.8e-05,0.795868,35050,6424.665000000001,1606373120.0673947
7.7e-05,7.000000000000003e-06,1.4000000000000001e-05,7.099999999999999e-05,1e-05,1.1e-05,1.7e-05,2.4e-05,7.8e-05,0.475472,1.8e-05,8e-06,0.00055,1.3000000000000001e-05,2.3e-05,1.8e-05,0.476411,35898,6580.103399999999,1606373181.7341785
8.1e-05,8e-06,1.4e-05,8e-05,1e-05,1e-05,1.7e-05,2.4e-05,8.1e-05,0.626164,2.3e-05,1e-05,0.0006519999999999999,1.6e-05,2.6e-05,2.1e-05,0.627237,36718,6730.4094,1606373243.9696472
9.2e-05,7.000000000000003e-06,1.4000000000000001e-05,9e-05,1e-05,1.2e-05,1.8e-05,2.7000000000000002e-05,9e-05,0.671744,1.9e-05,7.000000000000003e-06,0.000547,1.3000000000000001e-05,2e-05,1.7e-05,0.6727270000000001,37548,6882.5484,1606373305.6584337
0.00013700000000000002,1.2e-05,2.4e-05,0.000148,1.7e-05,1.8e-05,3e-05,4.4e-05,0.000146,0.5785359999999999,1.8e-05,7.000000000000003e-06,0.000556,1.3e-05,1.9e-05,1.7e-05,0.579742,38146,6992.1618,1606373367.5421755
8.1e-05,8e-06,1.4000000000000001e-05,8e-05,1e-05,1e-05,1.7e-05,2.4e-05,8e-05,0.8133520000000001,1.8e-05,7.000000000000003e-06,0.000618,1.3000000000000001e-05,4e-05,1.8e-05,0.81439,38956,7140.6348,1606373429.7679946
5.3e-05,5e-06,1.1e-05,4.9e-05,8e-06,8e-06,1.2e-05,1.6e-05,6e-05,0.6442760000000001,2.1e-05,8e-06,0.000584,1.6e-05,4.9e-05,2e-05,0.645196,39756,7287.2748,1606373492.1327946
8.4e-05,1e-05,1.4000000000000001e-05,8.1e-05,1.1e-05,1.1e-05,1.7e-05,2.3e-05,8.2e-05,0.690782,1.8e-05,7.000000000000003e-06,0.0007030000000000001,1.4000000000000001e-05,2.1e-05,1.7e-05,0.6918949999999999,40550,7432.815,1606373554.3143582
7.5e-05,6e-06,1.1e-05,5.400000000000001e-05,8e-06,8e-06,1.3e-05,1.8e-05,7e-05,0.970834,1.8e-05,8e-06,0.000646,1.4e-05,2.3e-05,3e-05,0.971836,41336,7576.888799999999,1606373616.578925
6.1e-05,6e-06,1.3000000000000001e-05,5.600000000000001e-05,8e-06,9e-06,1.4000000000000001e-05,2.4e-05,7.7e-05,1.038297,2e-05,8e-06,0.0006940000000000001,1.4000000000000001e-05,3.9e-05,1.8e-05,1.039358,42128,7722.0624,1606373679.1732755
5.400000000000001e-05,6e-06,1e-05,5.400000000000001e-05,8e-06,8e-06,1.3e-05,1.9e-05,7.7e-05,0.902513,2.2e-05,1e-05,0.0008869999999999998,1.7e-05,2.4e-05,1.9e-05,0.903741,42806,7846.3398,1606373741.4351635
